Year,Temperature,Population(Million),GDP in USD Billion,Per Capita Consumption
2000,24.71,10.59,476,
2001,24.89,10.78,493.95,
2002,25.09,10.98,523.97,
2003,24.86,11.17,618.36,
2004,24.94,11.36,721.59,
2005,24.71,11.54,834.22,
2006,25.01,11.72,949.12,
2007,25.02,11.89,1238.7,
2008,24.76,12.06,1224.1,
2009,25.48,12.23,1365.37,
2010,25.42,12.4,1708.46,
2011,24.83,12.57,1823.05,
2012,24.77,12.74,1827.64,
2013,24.65,12.91,1856.72,
2014,24.79,13.07,2039.13,
2015,24.91,13.22,2103.59,
2016,25.27,13.38,2294.8,
2017,25.26,13.54,2651.49,
2018,25.01,13.69,2702.93,
2019,24.95,13.83,2835.61,
2020,24.8,13.96,2671.6,
